Date,Price,Open,High,Low,Vol.,Change %
9/1/2021,613.00,613.00,613.00,613.00,,0.00
8/31/2021,610.00,610.00,610.00,610.00,,0.01
8/27/2021,604.00,604.00,604.00,604.00,,0.00
8/26/2021,604.00,604.00,604.00,604.00,,0.00
8/25/2021,603.00,603.00,603.00,603.00,,0.00
8/24/2021,605.00,605.00,605.00,605.00,,0.00
8/23/2021,607.00,607.00,607.00,607.00,,0.00
8/20/2021,610.00,610.00,610.00,610.00,,0.00
8/19/2021,608.00,608.00,608.00,608.00,,0.00
8/18/2021,607.00,607.00,607.00,607.00,,0.00
8/17/2021,608.00,608.00,608.00,608.00,,0.00
8/16/2021,610.00,610.00,610.00,610.00,,0.00
8/13/2021,613.00,613.00,613.00,613.00,,0.01
8/12/2021,609.00,609.00,609.00,609.00,,0.00
8/11/2021,608.00,608.00,608.00,608.00,,0.00
